kmedian,parmedian,public,private,ivyplus,otherelite,hselective,selective,northeast,midwest,west,pctfemale,pctkmarried
51600,89100,0,1,0,0,0,0,0,1,0,8.118812,54.957736
56300,104000,0,1,0,0,0,1,1,0,0,58.823532,65.585172
45200,75800,0,1,0,0,0,1,1,0,0,78.637773,60.614693
33300,99100,0,1,0,0,0,1,0,1,0,56.312627,44.535008
41200,96000,1,0,0,0,0,1,0,0,0,58.909827,60.079682
27400,57600,1,0,0,0,0,1,0,0,0,48.710603,45.116279
43000,85700,1,0,0,0,0,1,1,0,0,58.344924,60.60605
33200,75600,1,0,0,0,0,1,0,0,0,56.413221,60.041434
35900,72500,0,1,0,0,0,1,0,0,0,53.144264,68.77172
45000,94900,1,0,0,0,0,1,1,0,0,55.151016,55.108076
25700,65300,1,0,0,0,0,1,0,0,0,53.374541,44.630757
44800,100100,1,0,0,0,0,1,0,1,0,59.008199,65.643591
33800,69700,1,0,0,0,0,1,0,0,0,57.618666,60.685867
39600,90700,0,1,0,0,0,1,0,0,0,60.330576,75.42572
38500,98400,1,0,0,0,0,1,0,1,0,60.770577,54.191947
34400,81600,0,1,0,0,0,1,1,0,0,57.971013,67.397976
27500,47200,1,0,0,0,0,1,0,0,1,54.474044,47.971797
37300,74600,1,0,0,0,0,1,0,0,1,55.034214,62.764186
33300,93900,0,1,0,0,0,1,1,0,0,67.514676,70.200974
41700,85900,1,0,0,0,0,1,0,0,1,57.797354,65.24502
38800,113100,0,1,0,0,0,1,0,0,0,55.010021,52.06424
30600,53100,0,0,0,0,0,0,0,0,0,32.158399,37.294537
40500,93300,0,1,0,0,0,1,0,1,0,71.932513,66.69603
34600,74800,1,0,0,0,0,1,1,0,0,58.141303,56.722277
29900,61100,1,0,0,0,0,1,0,0,0,57.191271,45.821381
31000,37400,1,0,0,0,0,1,0,0,0,58.964145,27.648056
50900,98100,0,1,0,0,0,1,1,0,0,63.819093,69.474488
48500,100200,0,1,0,0,0,1,0,1,0,63.913041,59.827423
47500,91400,0,1,0,0,0,1,1,0,0,73.498964,57.406598
47300,146000,0,1,0,0,1,0,0,0,0,61.042619,63.001317
65600,92400,0,1,0,0,0,1,0,0,0,15.838288,63.416588
44800,120500,0,1,0,0,1,0,1,0,0,57.164949,44.374913
46600,93400,0,1,0,0,0,1,1,0,0,71.900827,51.794374
29200,67500,0,1,0,0,0,0,0,0,0,52.865064,65.357649
40700,84000,0,1,0,0,0,1,0,0,0,52.507377,66.71294
67800,175700,0,1,0,1,0,0,0,0,0,55.201501,58.406121
37500,80100,1,0,0,0,0,1,0,1,0,60.918581,67.057979
47500,108400,0,1,0,0,0,1,1,0,0,67.708331,59.219152
37400,94700,0,1,0,0,0,1,0,0,0,59.923667,76.364201
33200,73800,0,1,0,0,0,1,0,1,0,56.160456,75.585812
27000,100200,1,0,0,0,0,1,0,0,1,58.20452,39.631587
69900,151500,0,1,0,0,0,1,1,0,0,56.006181,59.444529
48200,87000,0,1,0,0,0,1,1,0,0,54.14176,48.488015
28200,76300,0,0,0,0,0,0,0,0,1,90.67024,38.99537
36700,79800,1,0,0,0,0,1,1,0,0,83.393103,42.236808
26300,63500,0,1,0,0,0,1,0,0,0,55.197656,52.845579
28700,41400,1,0,0,0,0,1,0,0,0,58.564693,28.612798
40400,73300,0,1,0,0,0,1,1,0,0,71.269488,42.192465
42400,82500,1,0,0,0,0,1,0,1,0,41.809008,59.881938
37000,71100,0,1,0,0,0,1,0,0,0,38.845554,53.825051
27800,55800,0,1,0,0,0,0,1,0,0,72.011662,34.46407
45000,89500,1,0,0,0,0,1,1,0,0,59.411764,55.439347
40300,100900,0,1,0,0,0,1,0,0,0,64.460784,62.477404
39300,57000,1,0,0,0,0,1,0,0,0,58.136278,27.595103
40500,77100,1,0,0,0,0,1,0,0,0,58.641481,47.391012
30900,85500,0,1,0,0,0,0,0,0,0,50.566894,75.396061
27600,52900,1,0,0,0,0,1,0,0,0,55.801105,53.163081
39700,78900,1,0,0,0,0,1,0,0,0,59.868419,55.987275
59600,86300,0,1,0,0,0,1,0,0,0,33.741081,60.793817
46800,66700,1,0,0,0,0,1,0,0,0,57.409668,47.471055
29300,33400,0,1,0,0,0,1,0,0,0,55.46875,15.215114
38700,85400,0,1,0,0,0,1,0,0,0,61.500412,62.469363
30100,66600,1,0,0,0,0,1,0,0,0,56.834948,44.544125
46400,100500,1,0,0,0,0,1,0,0,0,58.2537,56.862932
22800,39200,0,0,0,0,0,0,0,0,0,42.261904,32.299599
37300,88800,0,1,0,0,0,1,0,1,0,69.300914,63.777643
63300,113300,0,1,0,0,1,0,1,0,0,59.130019,50.407398
38500,71100,1,0,0,0,0,1,0,1,0,52.48307,67.745829
32700,90600,1,0,0,0,0,1,0,0,1,44.285145,49.071598
30900,45100,1,0,0,0,0,1,0,0,0,51.793528,21.62244
15800,35100,0,0,0,0,0,0,0,0,0,80.748665,22.519137
34100,68500,1,0,0,0,0,1,0,0,0,61.019111,50.037467
29500,102500,0,1,0,0,0,1,0,1,0,62.348557,69.340795
57800,162900,0,1,0,1,0,0,1,0,0,48.954985,57.183206
44000,85300,0,1,0,0,0,1,0,1,0,52.052981,71.523273
39100,86300,0,1,0,0,0,1,1,0,0,49.68102,51.303923
40100,65800,0,1,0,0,0,0,0,1,0,62.666667,52.510393
34500,77500,0,1,0,0,0,1,0,0,0,54.565215,76.035464
37900,71100,0,1,0,0,0,1,0,0,1,69.294608,78.36647
35000,82200,0,1,0,0,0,1,0,1,0,56.08108,63.73685
28700,80400,0,0,0,0,0,0,0,0,0,11.588331,35.598376
48100,156700,0,1,0,0,1,0,0,0,0,56.217349,69.398355
21000,71200,0,1,0,0,0,0,0,0,0,53.191489,32.610452
49000,83300,0,1,0,0,0,1,1,0,0,59.756923,65.811163
37200,84800,0,1,0,0,0,1,0,0,0,57.575756,67.279464
37900,77800,0,1,0,0,0,1,1,0,0,54.895836,73.96397
39200,89000,0,1,0,0,0,1,0,0,1,61.192352,72.754705
56500,107500,1,0,0,0,0,1,0,0,0,57.14727,54.259735
63900,137300,0,1,0,1,0,0,0,0,0,56.304109,54.504699
44900,93600,0,1,0,0,0,1,0,0,0,57.876712,74.062014
84400,195100,0,1,0,1,0,0,0,0,0,53.783786,55.85084
40500,95100,1,0,0,0,0,1,0,0,0,61.381751,64.353776
78900,126000,1,0,0,0,1,0,0,0,0,29.301402,63.464087
40500,88100,1,0,0,0,0,1,0,0,0,51.575565,54.3338
37400,73400,1,0,0,0,0,1,0,0,0,62.313432,58.438325
38900,82200,1,0,0,0,0,1,0,0,0,63.036489,46.881202
41000,83300,0,1,0,0,0,1,1,0,0,97.811818,54.505438
58800,138500,0,1,0,0,1,0,1,0,0,53.139538,63.865715
34300,55900,1,0,0,0,0,1,0,0,0,48.82904,59.509158
28700,72300,0,0,0,0,0,0,0,1,0,67.625898,42.50845
44800,80300,0,1,0,0,0,1,0,0,0,49.77169,49.083677
54900,121100,0,1,0,0,1,0,0,0,1,53.070176,64.240348
37300,95900,0,1,0,0,0,1,1,0,0,64.966553,72.969699
29000,74100,1,0,0,0,0,1,0,0,0,56.751388,50.411117
37400,86900,0,1,0,0,0,1,0,1,0,60.198021,67.481667
41800,106300,0,1,0,0,0,1,0,0,0,70.53892,53.46781
30800,73100,0,1,0,0,0,1,0,1,0,58.246654,78.883553
39300,77200,0,1,0,0,0,1,0,1,0,57.478005,67.73985
30500,34300,1,0,0,0,0,1,0,0,0,53.739274,18.649273
36900,90000,0,0,0,0,0,0,0,0,1,67.826086,64.292312
41300,96400,1,0,0,0,0,1,0,1,0,59.756398,68.957132
38900,71800,0,1,0,0,0,1,0,1,0,66.802442,65.682054
28800,77300,1,0,0,0,0,1,0,0,1,56.756759,55.47474
31200,93200,0,1,0,0,0,1,1,0,0,44.753748,44.745073
37200,95400,0,1,0,0,0,1,0,0,0,47.780126,58.15593
33800,80000,0,1,0,0,0,1,0,1,0,46.901172,76.091379
47300,126400,0,1,0,0,1,0,0,1,0,56.591642,52.433735
36800,109900,0,1,0,0,0,1,0,0,0,52.263373,45.325154
28300,56700,1,0,0,0,0,1,0,0,0,56.32745,49.606222
53100,114000,0,1,0,0,1,0,0,1,0,56.466705,71.230143
52700,94700,0,1,0,0,0,1,1,0,0,77.758008,61.892176
33200,42400,0,1,0,0,0,0,0,0,0,29.953918,41.745961
60300,164600,0,1,0,1,0,0,1,0,0,52.515244,59.373504
47600,94300,0,1,0,0,0,1,0,1,0,64.071858,59.065008
59900,141200,0,1,0,0,0,1,0,0,0,0.79787234,64.348096
31200,119300,0,1,0,0,1,0,1,0,0,57.464457,38.644826
45900,79500,0,1,0,0,0,1,0,0,0,62.933528,30.182973
30600,71800,0,1,0,0,0,1,0,1,0,64.549178,74.982899
46300,107800,0,1,0,0,0,1,0,1,0,54.929578,71.513873
41400,98200,0,1,0,0,0,1,0,0,0,56.70886,80.366153
41600,91700,0,1,0,0,0,1,0,0,0,52.791625,76.722729
30200,89100,0,0,0,0,0,0,0,1,0,90.158731,48.321429
29700,45200,1,0,0,0,0,1,0,1,0,64.928907,24.533063
45900,94400,0,1,0,0,0,1,1,0,0,56.262833,58.056754
81500,174000,0,1,1,0,0,0,1,0,0,46.851698,53.324383
82400,139800,0,1,0,1,0,0,0,0,1,32.11382,54.920626
45000,82700,0,1,0,0,0,1,0,1,0,50.221568,72.057533
57200,174200,0,1,0,1,0,0,1,0,0,54.492414,55.709392
41100,68600,0,1,0,0,0,1,0,0,1,44.60094,51.349145
43000,80000,0,1,0,0,0,1,0,1,0,48.579162,64.127046
36200,63900,1,0,0,0,0,1,0,0,0,52.547979,61.445707
40900,107500,0,1,0,0,1,0,0,0,0,58.16555,58.341682
33500,65400,0,0,0,0,0,0,0,1,0,41.266796,44.848731
34700,63700,0,0,0,0,0,0,0,1,0,76.489025,52.038407
40800,86100,0,1,0,0,0,1,0,0,0,59.672761,57.912076
40200,66300,0,1,0,0,0,1,1,0,0,58.356941,55.927777
43300,78900,0,1,0,0,0,1,0,1,0,52.812499,59.423757
52700,120400,0,1,0,0,0,1,1,0,0,59.139782,50.780642
26800,38300,0,1,0,0,0,0,0,0,0,73.099416,41.394433
55700,105300,0,1,0,0,0,1,1,0,0,54.631382,50.488228
36400,110700,0,1,0,0,0,1,0,0,0,99.420851,53.818524
46400,83200,0,1,0,0,0,1,1,0,0,75.956285,61.592591
45800,92600,0,1,0,0,0,1,0,0,0,88.976377,54.918218
46800,114100,0,1,0,0,0,1,0,1,0,59.245282,74.272096
35300,85300,0,1,0,0,0,1,1,0,0,63.298488,73.098034
43100,93400,0,1,0,0,0,1,0,0,0,68.548387,60.902065
36800,69200,0,1,0,0,0,1,0,0,0,45.885286,64.601624
49600,76900,0,1,0,0,0,1,0,0,0,67.221195,27.662203
35500,96000,1,0,0,0,0,1,0,0,1,57.9638,49.118873
38100,87200,0,1,0,0,0,1,0,0,0,63.471502,61.219114
29500,81400,0,1,0,0,0,1,0,1,0,58.357769,82.354099
34300,60900,0,1,0,0,0,1,1,0,0,59.078211,58.215493
29900,71500,1,0,0,0,0,1,0,0,1,53.435117,70.970541
41000,80900,0,1,0,0,0,1,0,1,0,53.85735,68.08551
33200,81500,0,0,0,0,0,0,0,1,0,48.900294,40.956789
72300,91600,0,1,0,0,1,0,0,1,0,26.839238,60.234845
49000,107600,1,0,0,0,0,1,0,1,0,59.974402,67.588174
58000,120900,0,1,0,0,1,0,0,1,0,58.006644,68.047065
43100,92700,0,1,0,0,0,1,1,0,0,92.670155,60.332799
26500,54000,1,0,0,0,0,1,0,0,0,55.912936,43.095279
40700,67800,0,1,0,0,0,1,0,1,0,37.627119,50.337768
37800,82600,1,0,0,0,0,1,0,1,0,53.822351,61.656225
38800,77100,1,0,0,0,0,1,1,0,0,55.43977,58.088279
40100,99400,1,0,0,0,0,1,0,1,0,57.10901,59.864211
24900,51600,0,0,0,0,0,0,0,1,0,61.894673,28.933975
56200,97400,0,1,0,0,0,1,1,0,0,47.277629,51.727587
51900,92900,1,0,0,0,0,1,0,1,0,46.161339,70.147175
52500,117800,0,1,0,0,0,1,1,0,0,55.750489,57.237363
35600,52600,0,0,0,0,0,0,0,1,0,14.208721,41.760245
31700,37100,1,0,0,0,0,1,0,0,0,60.664022,20.84779
34300,69100,1,0,0,0,0,1,0,0,0,55.45612,54.831809
43700,85000,0,1,0,0,0,1,0,0,0,46.718147,54.242557
55900,134300,1,0,0,0,0,1,0,0,0,59.782374,66.406965
43100,75200,0,1,0,0,0,1,0,1,0,57.004833,67.858803
35300,86800,0,1,0,0,0,1,0,0,0,53.944564,81.902176
54500,101500,0,1,0,0,0,1,0,1,0,54.90368,65.741366
75000,142300,0,1,0,1,0,0,0,0,0,41.768512,56.499428
35200,75100,0,1,0,0,0,1,1,0,0,46.17593,41.242045
29400,82000,0,1,0,0,0,0,0,0,0,50.812066,78.989154
35900,83000,0,1,0,0,0,1,0,1,0,54.219407,71.100515
49500,92100,0,1,0,0,0,1,1,0,0,57.289296,68.300217
53700,139700,0,1,0,0,1,0,0,1,0,55.941117,58.756334
25300,98500,0,1,0,0,0,0,0,1,0,57.398373,40.753841
45600,92100,1,0,0,0,0,1,0,1,0,48.891681,69.983423
46900,79200,1,0,0,0,0,1,1,0,0,61.672586,50.013345
41500,97700,1,0,0,0,0,1,1,0,0,59.23022,58.371478
24800,40500,0,1,0,0,0,0,0,0,0,61.164331,35.896763
36600,99900,1,0,0,0,0,1,0,0,0,59.569985,61.514676
36800,78400,1,0,0,0,0,1,0,1,0,59.103358,56.936604
33400,77900,0,1,0,0,0,1,0,0,0,53.304595,75.846958
28200,54000,1,0,0,0,0,1,0,0,0,54.618877,33.855453
38800,82500,0,1,0,0,0,1,0,0,0,49.659863,65.304631
48000,168400,0,1,0,1,0,0,0,1,0,55.638474,52.355683
85400,100100,0,1,0,0,1,0,0,1,0,17.861886,69.364899
42100,67700,0,1,0,0,0,1,1,0,0,69.565219,63.045371
29900,60200,0,1,0,0,0,1,1,0,0,51.60839,47.914267
37100,76000,0,1,0,0,0,1,0,0,0,63.287669,70.002967
52400,89900,0,1,0,0,0,1,1,0,0,50.994575,64.980233
44700,99900,0,1,0,0,1,0,0,1,0,54.444444,57.451469
43100,94100,1,0,0,0,0,1,1,0,0,60.052156,61.679596
39800,78700,0,1,0,0,0,1,1,0,0,61.285269,57.308966
58700,101500,0,1,0,0,0,1,1,0,0,51.978767,60.929614
43200,81300,0,1,0,0,0,1,0,0,1,57.398373,56.604177
75300,156700,0,1,0,1,0,0,1,0,0,50.614756,64.583045
39400,100800,0,1,0,0,0,1,0,0,0,61.904764,65.587074
31200,76700,0,1,0,0,0,1,0,1,0,75.984251,52.591568
51400,116000,0,1,0,0,0,1,0,1,0,58.595192,57.693034
28100,59100,1,0,0,0,0,1,0,0,0,58.945119,49.919537
35700,75500,1,0,0,0,0,1,0,1,0,48.306841,60.599256
32800,84100,1,0,0,0,0,1,0,0,1,41.926345,44.216874
39200,75400,0,1,0,0,0,1,0,1,0,48.863637,56.202328
39400,77200,1,0,0,0,0,1,0,0,0,52.13387,55.771351
29500,72000,0,1,0,0,0,0,1,0,0,58.088237,82.795435
36100,83300,1,0,0,0,0,1,0,0,0,61.850154,60.396624
21700,179000,0,1,0,0,0,0,1,0,0,33.333334,26.200655
25300,38800,1,0,0,0,0,1,0,0,0,51.42349,21.023108
45300,74300,0,1,0,0,0,1,1,0,0,73.645318,47.036147
54600,95100,0,1,0,0,0,1,0,1,0,26.696834,58.825362
44500,111600,0,1,0,0,1,0,0,1,0,54.000002,58.409798
29700,67200,0,0,0,0,0,0,0,0,1,33.002129,39.659822
49400,89100,0,1,0,0,0,1,1,0,0,60.908192,60.158962
49000,92700,0,1,0,0,0,1,1,0,0,56.51359,71.686924
32400,78600,0,1,0,0,0,1,0,0,0,57.409823,71.565288
33100,83200,0,1,0,0,0,1,0,0,0,53.380781,57.779813
81200,138300,0,1,0,1,0,0,1,0,0,42.070484,62.970114
39400,91600,0,1,0,0,0,1,0,0,0,59.512937,65.434253
29500,96100,0,1,0,0,0,1,1,0,0,75.431609,44.186538
49300,85700,0,1,0,0,0,1,0,0,0,27.629912,72.522378
41600,119100,0,1,0,0,0,1,0,0,1,60.341728,47.775823
49300,93700,0,1,0,0,0,1,0,1,0,48.191759,56.415528
31800,66000,1,0,0,0,0,1,0,0,1,54.221386,62.077421
38000,80700,0,0,0,0,0,0,1,0,0,95.754719,47.049659
36800,73900,0,1,0,0,0,1,0,0,0,48.374999,52.594805
27700,73800,0,1,0,0,0,0,0,1,0,51.968503,78.667134
27600,81800,0,1,0,0,0,0,0,1,0,48.809522,45.176059
29100,75000,0,0,0,0,0,0,1,0,0,79.472142,36.055207
40600,69000,0,1,0,0,0,1,0,0,0,68.018019,73.43365
31300,57000,1,0,0,0,0,1,0,1,0,54.064274,43.271655
37400,47500,1,0,0,0,0,1,1,0,0,59.080458,20.173524
38500,91100,0,1,0,0,0,1,0,1,0,55.729729,63.167048
27500,49100,0,1,0,0,0,1,0,0,0,57.56824,55.525482
50100,105500,0,1,0,0,0,1,0,0,1,59.560722,66.808361
40300,106400,0,1,0,0,0,1,0,0,0,55.870163,71.781135
39600,76600,1,0,0,0,0,1,1,0,0,56.940061,63.95418
39900,59000,0,1,0,0,0,1,1,0,0,65.096402,39.831343
41800,105700,1,0,0,0,0,1,0,0,0,65.858841,66.737461
46300,94100,0,1,0,0,0,1,0,1,0,52.998066,69.963342
40500,84500,0,1,0,0,0,1,0,0,0,56.456953,66.209108
35600,66500,1,0,0,0,0,1,0,0,0,60.227275,50.042087
44000,94300,1,0,0,0,0,1,0,0,0,55.999571,59.937447
42200,81500,1,0,0,0,0,1,0,0,0,47.362813,63.0391
56200,131800,0,1,0,0,0,1,0,0,1,58.5958,50.929028
53500,98600,0,1,0,0,1,0,0,1,0,65.909094,54.464799
69800,151200,0,1,0,0,1,0,0,0,0,57.102501,64.23263
42800,113800,0,1,0,0,1,0,0,0,0,63.269323,48.883638
37900,71900,0,1,0,0,0,1,0,0,0,53.829324,74.171823
46300,101300,0,1,0,0,0,1,0,1,0,59.835583,70.731086
47100,83600,0,1,0,0,0,1,1,0,0,54.136127,63.568717
28300,149800,0,1,0,0,0,1,0,0,0,49.582636,39.734733
47000,115500,0,1,0,1,0,0,0,1,0,61.196738,52.667254
38600,75500,0,1,0,0,0,1,0,1,0,49.209931,58.458394
30400,74800,1,0,0,0,0,1,0,1,0,51.564175,49.18898
41400,100700,0,1,0,0,0,1,0,1,0,75.362319,65.781718
75900,85300,1,0,0,0,0,1,1,0,0,18.306637,65.256411
37500,79000,0,1,0,0,0,1,0,1,0,61.105722,74.268663
39900,81400,0,1,0,0,0,1,0,1,0,55.526316,67.333835
48900,95400,0,1,0,0,0,1,1,0,0,68.545657,46.64441
38400,70300,1,0,0,0,0,1,1,0,0,59.826589,60.28654
24200,68000,0,1,0,0,0,0,0,1,0,53.457445,81.171733
38900,80900,0,1,0,0,0,1,0,1,0,71.381032,63.236618
46800,85300,0,1,0,0,0,1,0,1,0,47.530866,65.604329
59500,119300,0,1,0,0,0,1,1,0,0,56.272399,59.980613
60100,124800,0,1,0,0,1,0,0,1,0,56.335974,67.371345
34300,72900,0,1,0,0,0,1,0,0,0,49.070099,60.237968
35400,76400,1,0,0,0,0,1,0,0,0,53.589088,57.341492
38700,81100,0,1,0,0,0,1,0,0,0,99.710143,50.08744
31300,117100,0,1,0,0,0,0,0,0,0,59.152216,45.220393
31300,104900,0,1,0,0,0,0,0,0,1,50.90909,38.332346
35800,91100,0,1,0,0,0,1,1,0,0,73.212671,38.395315
47000,91800,0,1,0,0,0,1,0,0,0,74.557823,53.409296
37700,84900,0,1,0,0,0,1,0,0,0,54.992199,66.435897
44600,92900,0,1,0,0,0,1,0,1,0,76.302081,70.417225
40500,80600,0,1,0,0,0,1,1,0,0,73.1677,59.956527
32700,98300,1,0,0,0,0,1,1,0,0,62.433153,39.92655
36900,81400,1,0,0,0,0,1,1,0,0,60.761344,51.782608
98500,141000,0,1,1,0,0,0,1,0,0,42.81022,55.613101
84800,105300,1,0,0,0,0,1,1,0,0,12.95972,60.545921
30700,87700,0,1,0,0,0,1,0,0,1,56.162244,77.954805
40000,68300,1,0,0,0,0,1,0,1,0,50.432277,63.806057
52100,108100,0,1,0,0,0,1,0,0,0,55.265611,63.902742
43500,79900,0,1,0,0,0,1,0,1,0,59.718668,71.22885
39900,78000,0,1,0,0,0,1,0,0,0,51.708764,67.09826
27400,95300,0,0,0,0,0,0,0,1,0,15.918367,46.367347
36300,75800,1,0,0,0,0,1,0,0,0,54.883718,56.691867
65500,94100,0,1,0,0,0,1,1,0,0,38.862306,55.137599
37200,70000,0,1,0,0,0,1,0,1,0,39.473686,51.457763
112700,83300,0,1,0,0,0,0,1,0,0,70.605189,65.790105
35700,72100,0,1,0,0,0,1,1,0,0,67.467248,53.300458
46400,90000,0,1,0,0,0,1,0,0,0,60.275543,60.117006
31100,50700,0,1,0,0,0,1,1,0,0,65.295774,34.477732
40900,87400,0,1,0,0,0,1,1,0,0,61.545581,58.972812
35500,107700,0,1,0,0,0,1,0,0,0,99.63603,71.022981
56700,109700,0,1,0,0,0,1,1,0,0,52.653342,62.110037
44100,97100,0,1,0,0,0,1,1,0,0,62.425148,76.547801
39300,68600,0,1,0,0,0,1,0,0,0,34.829593,53.155059
36500,87500,1,0,0,0,0,1,0,0,1,54.249519,51.013672
31300,37000,1,0,0,0,0,1,0,0,0,54.674441,32.839862
22900,46300,0,0,0,0,0,0,0,0,0,58.106995,31.845498
50400,118800,1,0,0,0,0,1,0,1,0,54.776019,65.573132
52600,120400,1,0,0,0,0,1,0,1,0,54.694319,62.562639
65900,98700,1,0,0,0,0,1,0,1,0,26.668745,66.637415
33800,82900,0,1,0,0,0,1,0,1,0,51.862067,71.916711
31600,62700,1,0,0,0,0,1,0,0,0,44.497895,47.811472
37100,89100,1,0,0,0,0,1,0,0,0,54.033566,59.366995
61800,219600,0,1,0,1,0,0,1,0,0,52.345955,60.015309
35900,58600,1,0,0,0,0,1,0,0,0,52.60191,53.919953
51500,73300,0,1,0,0,0,1,0,1,0,56.632656,74.961144
38000,70800,1,0,0,0,0,1,0,0,0,54.101008,61.209607
45400,93500,1,0,0,0,0,1,1,0,0,58.246797,63.759583
36700,85900,0,1,0,0,0,1,0,0,0,59.514171,77.361256
46500,96500,0,1,0,0,0,1,0,1,0,56.02625,64.298534
40200,79100,0,1,0,0,0,1,0,0,1,99.130434,47.200856
44600,110600,0,1,0,0,0,1,0,0,0,54.251009,63.539433
32200,89200,0,1,0,0,0,0,0,1,0,51.156813,48.988917
72700,91700,0,1,0,0,1,0,0,1,0,15.533088,64.008731
28000,92900,0,1,0,0,0,0,0,1,0,42.819148,42.526275
29900,73800,0,0,0,0,0,0,0,1,0,60.022026,43.632939
36900,77500,1,0,0,0,0,1,0,1,0,51.313466,58.507675
